0,AAK,AAK,LHZ,00,II,42.64,74.49,1633,43.29627588,0
1,ABKT,ABKT,LHZ,00,II,37.93,58.12,678,47.99586704,1
2,AFI00,AFI,LHZ,00,IU,-13.91,-171.78,706,94.58546841,2
3,AFI10,AFI,LHZ,10,IU,-13.91,-171.78,706,94.58546841,3
4,AIS,AIS,LHZ,00,G,-37.8,77.57,36,43.71686361,4
5,ALE00,ALE,LHZ,00,II,82.5,-62.35,65,93.79172382,5
6,ALE10,ALE,LHZ,10,II,82.5,-62.35,65,93.79172382,6
7,ANMO00,ANMO,LHZ,00,IU,34.95,-106.46,1820,137.2817624,7
8,ANMO10,ANMO,LHZ,10,IU,34.95,-106.46,1820,137.2817624,8
9,ANTO,ANTO,LHZ,00,IU,39.87,32.79,883,66.38163706,9
10,ARU,ARU,LHZ,00,II,56.43,58.56,260,60.44075671,10
11,ASCN00,ASCN,LHZ,00,II,-7.93,-14.36,173,108.8575371,11
12,ASCN10,ASCN,LHZ,10,II,-7.93,-14.36,173,108.8575371,12
13,ATD,ATD,LHZ,*,G,11.53,42.85,610,51.61065374,13
14,BBSR,BBSR,LHZ,00,IU,32.37,-64.7,-25.4,139.311141,14
15,BFO,BFO,LHZ,00,II,48.33,8.33,589,84.98714085,15
16,BILL,BILL,LHZ,00,IU,68.04,166.27,299,80.48408724,16
17,BORG00,BORG,LHZ,00,II,64.75,-21.33,110,97.77147484,17
18,BORG10,BORG,LHZ,10,II,64.75,-21.33,110,97.77147484,18
19,BRVK,BRVK,LHZ,00,II,53.06,70.28,315,53.74165868,19
20,CAN,CAN,LHZ,*,G,-35.32,149,700,63.94799667,20
21,CASY00,CASY,LHZ,00,IU,-66.28,110.54,154,70.35171549,21
22,CASY10,CASY,LHZ,10,IU,-66.28,110.54,154,70.35171549,22
23,CCM,CCM,LHZ,00,IU,38.06,-91.24,222,138.5395513,23
24,CHTO,CHTO,LHZ,00,IU,18.81,98.94,316,16.37791524,24
25,CMLA,CMLA,LHZ,00,II,37.76,-25.52,332,111.0454954,25
26,COCO,COCO,LHZ,00,II,-12.19,96.83,-69,15.49290955,26
27,COLA00,COLA,LHZ,00,IU,64.87,-147.85,74,98.59933596,27
28,COLA10,COLA,LHZ,10,IU,64.87,-147.85,74,98.59933596,28
29,COR,COR,LHZ,00,IU,44.59,-123.3,121,121.728159,29
30,CRZF,CRZF,LHZ,00,G,-46.43,51.86,140,62.01820279,30
31,CTAO,CTAO,LHZ,00,IU,-20.09,146.25,357,56.01819581,31
32,DGAR,DGAR,LHZ,10,II,-7.41,72.45,0,24.16273113,32
33,DRV,DRV,LHZ,00,G,-66.67,140.01,40,76.9084881,33
34,DWPF,DWPF,LHZ,00,IU,28.11,-81.43,30,148.5256408,34
35,ECH,ECH,LHZ,00,G,48.22,7.16,580,85.76556947,35
36,EFI,EFI,LHZ,00,II,-51.68,-58.06,110,126.2036504,36
37,ESK,ESK,LHZ,00,II,55.32,-3.21,263,91.69025517,37
38,FDF,FDF,LHZ,00,G,14.73,-61.15,510,149.817153,38
39,FFC,FFC,LHZ,00,II,54.73,-101.98,338,120.6405715,39
40,FURI00,FURI,LHZ,00,IU,8.9,38.68,2560,55.5313544,40
41,FURI10,FURI,LHZ,10,IU,8.9,38.68,2560,55.5313544,41
42,GNI,GNI,LHZ,00,IU,40.15,44.74,1583,57.9768659,42
43,GUMO00,GUMO,LHZ,00,IU,13.59,144.87,99,51.05177906,43
44,GUMO10,GUMO,LHZ,10,IU,13.59,144.87,99,51.05177906,44
45,HDC,HDC,LHZ,*,G,10,-84.11,1150,166.8089118,45
46,HKT,HKT,LHZ,00,IU,29.95,-95.83,-415,145.5783458,46
47,HNR00,HNR,LHZ,00,IU,-9.43,159.95,72,66.62599102,47
48,HNR10,HNR,LHZ,10,IU,-9.43,159.95,72,66.62599102,48
49,HRV,HRV,LHZ,*,IU,42.51,-71.56,200,132.6309639,49
50,HYB,HYB,LHZ,*,G,17.42,78.55,510,21.04123567,50
51,INCN00,INCN,LHZ,00,IU,37.48,126.63,420,45.40981665,51
52,INCN10,INCN,LHZ,10,IU,37.48,126.63,420,45.40981665,52
53,INU,INU,LHZ,*,G,35.35,137.02,140,51.0092575,53
54,JTS,JTS,LHZ,00,II,10.29,-84.95,340,166.596244,54
55,KDAK00,KDAK,LHZ,00,II,57.78,-152.58,152,99.42406775,55
56,KDAK10,KDAK,LHZ,10,II,57.78,-152.58,152,99.42406775,56
57,KEV00,KEV,LHZ,00,IU,69.76,27.01,80,79.38694641,57
58,KEV10,KEV,LHZ,10,IU,69.76,27.01,80,79.38694641,58
59,KIEV,KIEV,LHZ,00,IU,50.69,29.21,123.6,72.03030431,59
60,KIP_G00,KIP,LHZ,00,G,21.42,-158.01,73,105.267627,60
61,KIP_G10,KIP,LHZ,10,G,21.42,-158.01,73,105.267627,61
62,KIP_IU00,KIP,LHZ,00,IU,21.42,-158.01,73,105.267627,62
63,KIP_IU10,KIP,LHZ,10,IU,21.42,-158.01,73,105.267627,63
64,KIV,KIV,LHZ,00,II,43.96,42.69,1054,61.04148408,64
