47,HNR00,HNR,LHZ,00,IU,-9.43,159.95,72,66.62599102,47
48,HNR10,HNR,LHZ,10,IU,-9.43,159.95,72,66.62599102,48
49,HRV,HRV,LHZ,*,IU,42.51,-71.56,200,132.6309639,49
50,HYB,HYB,LHZ,*,G,17.42,78.55,510,21.04123567,50
51,INCN00,INCN,LHZ,00,IU,37.48,126.63,420,45.40981665,51
52,INCN10,INCN,LHZ,10,IU,37.48,126.63,420,45.40981665,52
53,INU,INU,LHZ,*,G,35.35,137.02,140,51.0092575,53
54,JTS,JTS,LHZ,00,II,10.29,-84.95,340,166.596244,54
55,KDAK00,KDAK,LHZ,00,II,57.78,-152.58,152,99.42406775,55
56,KDAK10,KDAK,LHZ,10,II,57.78,-152.58,152,99.42406775,56
57,KEV00,KEV,LHZ,00,IU,69.76,27.01,80,79.38694641,57
58,KEV10,KEV,LHZ,10,IU,69.76,27.01,80,79.38694641,58
59,KIEV,KIEV,LHZ,00,IU,50.69,29.21,123.6,72.03030431,59
60,KIP_G00,KIP,LHZ,00,G,21.42,-158.01,73,105.267627,60
61,KIP_G10,KIP,LHZ,10,G,21.42,-158.01,73,105.267627,61
62,KIP_IU00,KIP,LHZ,00,IU,21.42,-158.01,73,105.267627,62
63,KIP_IU10,KIP,LHZ,10,IU,21.42,-158.01,73,105.267627,63
64,KIV,KIV,LHZ,00,II,43.96,42.69,1054,61.04148408,64
65,KMBO,KMBO,LHZ,00,IU,-1.13,37.25,1940,57.14126669,65
66,KONO00,KONO,LHZ,00,IU,59.65,9.6,216,84.63740412,66
67,KONO10,KONO,LHZ,10,IU,59.65,9.6,216,84.63740412,67
68,KURK,KURK,LHZ,00,II,50.72,78.62,184,49.41569928,68
69,KWAJ,KWAJ,LHZ,00,II,8.8,167.61,,73.08591126,69
70,LSZ00,LSZ,LHZ,00,IU,-15.28,28.19,1184.8,67.88365221,70
71,LSZ10,LSZ,LHZ,10,IU,-15.28,28.19,1184.8,67.88365221,71
72,LVC00,LVC,LHZ,00,IU,-22.61,-68.91,2960,154.5608992,72
73,LVC10,LVC,LHZ,10,IU,-22.61,-68.91,2960,154.5608992,73
74,LVZ,LVZ,LHZ,00,II,67.9,34.65,630,76.1124415,74
75,MA2,MA2,LHZ,00,IU,59.58,150.77,339,71.00289789,75
76,MAJO,MAJO,LHZ,00,IU,36.54,138.21,405.9,52.43232769,76
77,MBAR,MBAR,LHZ,00,II,-0.6,30.74,1390,63.60109479,77
78,MBO,MBO,LHZ,00,G,14.39,-16.95,3,109.670036,78
79,MBWA,MBWA,LHZ,10,IU,-21.16,119.73,194,34.78932449,79
80,MIDW,MIDW,LHZ,00,IU,28.22,-177.37,-75.6,87.10476292,80
81,MPG,MPG,LHZ,00,G,38.16,13.36,600,80.93929405,81
82,MSEY,MSEY,LHZ,00,II,-4.67,55.48,475,39.51717188,82
83,NNA,NNA,LHZ,00,II,-11.99,-76.84,575,167.4778986,83
84,NWAO,NWAO,LHZ,00,IU,-32.93,117.23,265,42.06692326,84
85,OBN,OBN,LHZ,00,II,55.11,36.57,,69.54520793,85
86,PAB,PAB,LHZ,00,IU,39.55,-4.35,938,94.64210336,86
87,PAF,PAF,LHZ,00,G,-49.35,70.21,17,56.41794393,87
88,PAYG00,PAYG,LHZ,00,IU,-0.67,-90.29,195.7,174.8545091,88
89,PAYG10,PAYG,LHZ,10,IU,-0.67,-90.29,195.7,174.8545091,89
90,PET,PET,LHZ,00,IU,53.02,158.65,68,72.38357475,90
91,PFO00,PFO,LHZ,00,II,33.61,-116.46,1259,133.2409261,91
92,PFO10,PFO,LHZ,10,II,33.61,-116.46,1259,133.2409261,92
